Total loss: 1.1412412023544312, rpn_cls_loss: 0.6937109708786011, rpn_reg_loss: 0.4475302335619926, Accuracy 0.9665234375
Total loss: 1.164932832121849, rpn_cls_loss: 0.6936267042160034, rpn_reg_loss: 0.4713061222434044, Accuracy 0.9549609375
Total loss: 1.1564776957035066, rpn_cls_loss: 0.6936035907268524, rpn_reg_loss: 0.4628741106390953, Accuracy 0.9617578125
Total loss: 1.1631114554405213, rpn_cls_loss: 0.6935492891073227, rpn_reg_loss: 0.4695621594786644, Accuracy 0.96890625
Total loss: 1.0787989068031312, rpn_cls_loss: 0.693520359992981, rpn_reg_loss: 0.38527854353189467, Accuracy 0.9763671875
Total loss: 1.1983301377296447, rpn_cls_loss: 0.6934698736667633, rpn_reg_loss: 0.5048602637648583, Accuracy 0.9459765625
Total loss: 1.1431166177988052, rpn_cls_loss: 0.6934421104192734, rpn_reg_loss: 0.4496745052933693, Accuracy 0.951875
Total loss: 1.139497208595276, rpn_cls_loss: 0.6934247648715973, rpn_reg_loss: 0.4460724401473999, Accuracy 0.9527734375
Total loss: 1.1615797466039657, rpn_cls_loss: 0.6934076178073884, rpn_reg_loss: 0.4681721284985542, Accuracy 0.9578515625
Total loss: 1.131209406852722, rpn_cls_loss: 0.6933974826335907, rpn_reg_loss: 0.43781192928552626, Accuracy 0.97578125
Total loss: 1.2910369175672531, rpn_cls_loss: 0.6933502435684205, rpn_reg_loss: 0.597686670422554, Accuracy 0.9232421875
Total loss: 1.170331808924675, rpn_cls_loss: 0.6932636857032776, rpn_reg_loss: 0.4770681202411652, Accuracy 0.8775390625
Total loss: 1.0988951635360718, rpn_cls_loss: 0.6932888966798783, rpn_reg_loss: 0.4056062680482864, Accuracy 0.9031640625
Total loss: 1.0737059819698334, rpn_cls_loss: 0.6932264083623886, rpn_reg_loss: 0.38047957196831705, Accuracy 0.832265625
Total loss: 1.1144865810871125, rpn_cls_loss: 0.6932467573881149, rpn_reg_loss: 0.42123982578516006, Accuracy 0.915234375
Total loss: 1.1594966548681258, rpn_cls_loss: 0.6932994377613068, rpn_reg_loss: 0.4661972224712372, Accuracy 0.9508984375
Total loss: 1.3042983996868134, rpn_cls_loss: 0.6933128237724304, rpn_reg_loss: 0.6109855794906616, Accuracy 0.96015625
Total loss: 1.2084726345539094, rpn_cls_loss: 0.6932741665840149, rpn_reg_loss: 0.5151984596252441, Accuracy 0.950078125
Total loss: 1.1530727416276931, rpn_cls_loss: 0.6932738941907882, rpn_reg_loss: 0.4597988468408585, Accuracy 0.9477734375
Total loss: 1.1292859250307083, rpn_cls_loss: 0.6932466554641724, rpn_reg_loss: 0.43603926986455915, Accuracy 0.9061328125
Total loss: 1.1512155562639237, rpn_cls_loss: 0.6932755762338638, rpn_reg_loss: 0.45793998062610625, Accuracy 0.9724609375
Total loss: 1.1613728892803192, rpn_cls_loss: 0.693267166018486, rpn_reg_loss: 0.4681057286262512, Accuracy 0.9641015625
Total loss: 1.147434613108635, rpn_cls_loss: 0.6932534331083298, rpn_reg_loss: 0.4541811829805374, Accuracy 0.96546875
Total loss: 1.140823898911476, rpn_cls_loss: 0.6932429981231689, rpn_reg_loss: 0.44758090436458586, Accuracy 0.941015625
Total loss: 1.1251012301445007, rpn_cls_loss: 0.6932333177328109, rpn_reg_loss: 0.43186790615320203, Accuracy 0.9380859375
Total loss: 1.147883238196373, rpn_cls_loss: 0.6932403707504272, rpn_reg_loss: 0.45464286744594573, Accuracy 0.9719921875
Total loss: 1.1695115160942078, rpn_cls_loss: 0.6932283234596253, rpn_reg_loss: 0.47628319591283796, Accuracy 0.9641796875
Total loss: 1.1173050498962402, rpn_cls_loss: 0.6932265728712081, rpn_reg_loss: 0.42407848238945006, Accuracy 0.9563671875
Total loss: 1.157748349905014, rpn_cls_loss: 0.6932183748483658, rpn_reg_loss: 0.46452997118234635, Accuracy 0.941875
Total loss: 1.1790144038200379, rpn_cls_loss: 0.6932163709402084, rpn_reg_loss: 0.4857980337738991, Accuracy 0.962578125
Total loss: 1.1038297039270402, rpn_cls_loss: 0.6932149994373321, rpn_reg_loss: 0.41061470687389373, Accuracy 0.9783203125
Total loss: 1.1278959608078003, rpn_cls_loss: 0.6932107263803482, rpn_reg_loss: 0.4346852344274521, Accuracy 0.9752734375
Total loss: 1.2185247200727463, rpn_cls_loss: 0.6932025086879731, rpn_reg_loss: 0.5253222128748893, Accuracy 0.95265625
Total loss: 1.3593805992603303, rpn_cls_loss: 0.6931949931383133, rpn_reg_loss: 0.6661856058239937, Accuracy 0.8951171875
Total loss: 1.1939589422941208, rpn_cls_loss: 0.6931645143032074, rpn_reg_loss: 0.5007944279909133, Accuracy 0.8503515625
Total loss: 1.102213962674141, rpn_cls_loss: 0.6931791877746583, rpn_reg_loss: 0.4090347708761692, Accuracy 0.8903515625
Total loss: 1.1221878039836883, rpn_cls_loss: 0.6931838071346283, rpn_reg_loss: 0.42900399178266524, Accuracy 0.92234375
Total loss: 1.0893963223695755, rpn_cls_loss: 0.6931769424676895, rpn_reg_loss: 0.3962193813920021, Accuracy 0.8725390625
Total loss: 1.0736945950984955, rpn_cls_loss: 0.6931696319580078, rpn_reg_loss: 0.38052496060729024, Accuracy 0.8634375
Total loss: 1.0808504962921142, rpn_cls_loss: 0.6931722033023834, rpn_reg_loss: 0.38767829224467276, Accuracy 0.864296875
Total loss: 1.1084067982435226, rpn_cls_loss: 0.6931662821769714, rpn_reg_loss: 0.4152405148744583, Accuracy 0.923828125
Total loss: 1.1025064146518708, rpn_cls_loss: 0.6931725722551346, rpn_reg_loss: 0.40933383733034134, Accuracy 0.927109375
Total loss: 1.1834206295013427, rpn_cls_loss: 0.6931836229562759, rpn_reg_loss: 0.49023701429367067, Accuracy 0.9482421875
Total loss: 1.2572019678354263, rpn_cls_loss: 0.6931814593076706, rpn_reg_loss: 0.5640205064415932, Accuracy 0.94046875
Total loss: 1.2050185757875442, rpn_cls_loss: 0.693183536529541, rpn_reg_loss: 0.5118350365757942, Accuracy 0.967578125
Total loss: 1.255513550043106, rpn_cls_loss: 0.6931799614429474, rpn_reg_loss: 0.5623335921764374, Accuracy 0.9635546875
Total loss: 1.166602076292038, rpn_cls_loss: 0.6931681644916534, rpn_reg_loss: 0.47343391090631487, Accuracy 0.9233984375
Total loss: 1.1581480240821838, rpn_cls_loss: 0.6931733655929565, rpn_reg_loss: 0.4649746507406235, Accuracy 0.9653125
